0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
0.14,0.24,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
0.22,0.24,0.54,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
0.1,0.22,0.3,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.2,0.26,0.42,0.48,0.5,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.26,0.28,0.36,0.5,0.58,0.6,0.54,0.54,0.54,0.54,0.54,0.54
0.24,0.34,0.48,0.62,0.58,0.58,0.62,0.58,0.58,0.58,0.58,0.58
0.22,0.38,0.52,0.68,0.7,0.66,0.7,0.68,0.66,0.66,0.66,0.66
0.26,0.4,0.5,0.68,0.7,0.78,0.78,0.78,0.74,0.78,0.78,0.78
0.18,0.26,0.42,0.74,0.76,0.88,0.8,0.76,0.76,0.76,0.74,0.76
0.26,0.26,0.54,0.82,0.88,0.84,0.86,0.88,0.88,0.86,0.86,0.86
0.22,0.24,0.6,0.84,0.88,0.84,0.86,0.86,0.86,0.84,0.84,0.84
0.24,0.38,0.56,0.86,0.94,0.96,0.96,0.94,0.96,0.96,0.96,0.96
0.28,0.42,0.52,0.88,0.94,0.96,0.96,1,0.98,0.98,0.98,0.98
